Johnny McNally,NFL,Attempts,70,Completions,24,Yards,299,TDs,4,INTs,5,Rating
Johnny McNally,NFL,Attempts,120,Yards,386,TDs,4,,,,,
Johnny McNally,NFL,Receptions,67,Yards,1117,TDs,37,,,,,
Joe Perry,NFL,Attempts,11,Completions,3,Yards,79,TDs,1,INTs,0,Rating
Joe Perry,NFL,Attempts,1929,Yards,9723,TDs,1,,,,,
Joe Perry,NFL,Receptions,260,Yards,2021,TDs,12,,,,,
Doak Walker,NFL,Attempts,28,Completions,7,Yards,75,TDs,2,INTs,2,Rating
Doak Walker,NFL,Attempts,309,Yards,1520,TDs,2,,,,,
Doak Walker,NFL,Receptions,152,Yards,2539,TDs,21,,,,,
Charlie Trippi,NFL,Attempts,434,Completions,205,Yards,2547,TDs,16,INTs,31,Rating
Charlie Trippi,NFL,Attempts,687,Yards,3506,TDs,16,,,,,
Charlie Trippi,NFL,Receptions,130,Yards,1321,TDs,11,,,,,
Norm Van Brocklin,NFL,Attempts,2895,Completions,1553,Yards,23611,TDs,173,INTs,178,Rating
Norm Van Brocklin,NFL,Attempts,102,Yards,40,TDs,173,,,,,
Dutch Clark,NFL,Attempts,250,Completions,114,Yards,1507,TDs,11,INTs,26,Rating
Dutch Clark,NFL,Attempts,606,Yards,2772,TDs,11,,,,,
Dutch Clark,NFL,Receptions,28,Yards,341,TDs,6,,,,,
Jim Taylor,NFL,Attempts,1941,Yards,8597,TDs,0,,,,,
Jim Taylor,NFL,Receptions,225,Yards,1756,TDs,10,,,,,
Cliff Battles,NFL,Attempts,157,Completions,44,Yards,590,TDs,1,INTs,15,Rating
Cliff Battles,NFL,Attempts,839,Yards,3511,TDs,1,,,,,
Cliff Battles,NFL,Receptions,38,Yards,546,TDs,4,,,,,
Tommy McDonald,NFL,Attempts,2,Completions,2,Yards,21,TDs,1,INTs,0,Rating
Tommy McDonald,NFL,Attempts,17,Yards,22,TDs,1,,,,,
Tommy McDonald,NFL,Receptions,495,Yards,8410,TDs,84,,,,,
Bill Hewitt,NFL,Attempts,10,Completions,5,Yards,63,TDs,3,INTs,0,Rating
Bill Hewitt,NFL,Attempts,8,Yards,36,TDs,3,,,,,
Bill Hewitt,NFL,Receptions,103,Yards,1638,TDs,23,,,,,
JackButler,NFL,Interceptions,52,Yards,827,TDs,4,,,,,
