NFL1984,6,145,San Diego Chargers,KeithGuthrie,Keith,Guthrie,,Defensive tackle,TexasA&M
NFL1984,6,146,Kansas City Chiefs,RufusStevens,Rufus,Stevens,,Wide receiver,Grambling
NFL1984,6,147,Indianapolis Colts,DwightBeverly,Dwight,Beverly,,Running back,Illinois
NFL1984,6,148,Atlanta Falcons,BenBennett,Ben,Bennett,,Quarterback,Duke
NFL1984,6,149,New York Jets,TonyPaige,Tony,Paige,,Running back,VirginiaTech
NFL1984,6,150,Cincinnati Bengals,DonKern,Don,Kern,,Tight end,ArizonaState
NFL1984,6,151,New England Patriots,ErnestGibson,Ernest,Gibson,,Defensive back,Furman
NFL1984,6,152,Dallas Cowboys,EugeneLockhart,Eugene,Lockhart,,Linebacker,Houston
NFL1984,6,153,Green Bay Packers,RandyWright,Randy,Wright,,Quarterback,Wisconsin
NFL1984,6,154,Minnesota Vikings,DwightCollins,Dwight,Collins,,Wide receiver,Pittsburgh
NFL1984,6,155,Buffalo Bills,TonySlaton,Tony,Slaton,,Center,USC
NFL1984,6,156,New Orleans Saints,DonThorp,Don,Thorp,,Defensive tackle,Illinois
NFL1984,6,157,St Louis Cardinals,RodClark,Rod,Clark,,Linebacker,SouthwestTexasState
NFL1984,6,158,Cleveland Browns,TerryNugent,Terry,Nugent,,Quarterback,ColoradoState
NFL1984,6,159,Denver Broncos,AaronSmith,Aaron,Smith,,Linebacker,UtahState
NFL1984,6,160,Detroit Lions,JohnWitkowski,John,Witkowski,,Quarterback,Columbia
NFL1984,6,161,Houston Oilers,EricMullins,Eric,Mullins,,Wide receiver,Stanford
NFL1984,6,162,Seattle Seahawks,JohnKaiser,John,Kaiser,,Linebacker,Arizona
NFL1984,6,163,Atlanta Falcons,DanRalph,Dan,Ralph,,Defensive tackle,Oregon
NFL1984,6,164,Pittsburgh Steelers,ChrisBrown,Chris,Brown,,Defensive back,NotreDame
NFL1984,6,165,Miami Dolphins,RowlandTatum,Rowland,Tatum,,Linebacker,OhioState
NFL1984,6,166,Dallas Cowboys,JoeLevelis,Joe,Levelis,,Guard,Iowa
NFL1984,6,167,Washington Redskins,CurtSinger,Curt,Singer,,Tackle,Tennessee
NFL1984,6,168,Los Angeles Raiders,StaceyToran,Stacey,Toran,,Defensive back,NotreDame
NFL1984,7,169,Tampa Bay Buccaneers,JayCarroll,Jay,Carroll,,Tight end,Minnesota
NFL1984,7,170,Houston Oilers,WillieJoyner,Willie,Joyner,,Running back,Maryland
NFL1984,7,171,New York Giants,LionelManuel,Lionel,Manuel,,Wide receiver,Pacific
NFL1984,7,172,Philadelphia Eagles,JoeHayes,Joe,Hayes,,Running back,CentralStateOK
NFL1984,7,173,Kansas City Chiefs,KevinRoss,Kevin,Ross,,Cornerback,Temple
NFL1984,7,174,San Diego Chargers,JesseBendross,Jesse,Bendross,,Wide receiver,Alabama
NFL1984,7,175,Atlanta Falcons,KirkDodge,Kirk,Dodge,,Linebacker,UNLV
NFL1984,7,176,New York Jets,HarryHamilton,Harry,Hamilton,,Defensive back,PennState
NFL1984,7,177,Cincinnati Bengals,LeoBarker,Leo,Barker,,Linebacker,NewMexicoState
NFL1984,7,178,Detroit Lions,JimmieCarter,Jimmie,Carter,,Linebacker,NewMexico
NFL1984,7,179,Chicago Bears,NakitaRobertson,Nakita,Robertson,,Running back,CentralArkansas
NFL1984,7,180,Minnesota Vikings,JohnHaines,John,Haines,,Defensive tackle,Texas
NFL1984,7,181,Green Bay Packers,DaryllJones,Daryll,Jones,,Defensive back,Georgia
NFL1984,7,182,Buffalo Bills,StanDavid,Stan,David,,Defensive back,TexasTech
NFL1984,7,183,Los Angeles Raiders,MitchWillis,Mitch,Willis,,Defensive end,SouthernMethodist
NFL1984,7,184,New England Patriots,BruceKallmeyer,Bruce,Kallmeyer,,Kicker,Kansas
NFL1984,7,185,St Louis Cardinals,QuentinWalker,Quentin,Walker,,Running back,Virginia
NFL1984,7,186,Denver Broncos,ClarenceKay,Clarence,Kay,,Tight end,Georgia
NFL1984,7,187,Detroit Lions,RenwickAtkins,Renwick,Atkins,,Tackle,Kansas
NFL1984,7,188,Los Angeles Rams,GeorgeRadachowsky,George,Radachowsky,,Defensive back,BostonCollege
NFL1984,7,189,Seattle Seahawks,SamSlater,Sam,Slater,,Tackle,WeberState
NFL1984,7,190,Cleveland Browns,JimDumont,Jim,Dumont,,Linebacker,Rutgers
NFL1984,7,191,Pittsburgh Steelers,ScottCampbell,Scott,Campbell,,Quarterback,Purdue
NFL1984,7,192,New England Patriots,DerwinWilliams,Derwin,Williams,,Wide receiver,NewMexico
NFL1984,7,193,Dallas Cowboys,EdMartin,Ed,Martin,,Linebacker,IndianaState
NFL1984,7,194,Miami Dolphins,BernardCarvalho,Bernard,Carvalho,,Guard,Hawaii
NFL1984,7,195,Washington Redskins,MarkSmith,Mark,Smith,,Wide receiver,NorthCarolina
NFL1984,7,196,Minnesota Vikings,LloydLewis,Lloyd,Lewis,,Guard,TexasA&I
NFL1984,8,197,Houston Oilers,KevinBaugh,Kevin,Baugh,,Wide receiver,PennState
NFL1984,8,198,Tampa Bay Buccaneers,FredRobinson,Fred,Robinson,,Defensive end,MiamiFL
NFL1984,8,199,San Diego Chargers,RayWoodard,Ray,Woodard,,Defensive tackle,Texas
NFL1984,8,200,Philadelphia Eagles,MannyMatsakis,Manny,Matsakis,,Kicker,Capital
NFL1984,8,201,St Louis Cardinals,NikoNoga,Niko,Noga,,Linebacker,Hawaii
NFL1984,8,202,Kansas City Chiefs,RandyClark2,Randy,Clark,,Defensive back,Florida
NFL1984,8,203,New York Jets,BillyGriggs,Billy,Griggs,,Tight end,Virginia
NFL1984,8,204,Cincinnati Bengals,BruceReimers,Bruce,Reimers,,Tackle,IowaState
NFL1984,8,205,Indianapolis Colts,EugeneDaniel,Eugene,Daniel,,Defensive back,LouisianaState
NFL1984,8,206,Atlanta Falcons,JeffJackson2,Jeff,Jackson,,Linebacker,Auburn
NFL1984,8,207,Denver Broncos,WinfordHood,Winford,Hood,,Tackle,Georgia
NFL1984,8,208,Minnesota Vikings,PaulSverchek,Paul,Sverchek,,Defensive tackle,CalPolySanLuisObispo
NFL1984,8,209,Buffalo Bills,StacyRayfield,Stacy,Rayfield,,Defensive back,TexasArlington
NFL1984,8,210,New Orleans Saints,ClemonTerrell,Clemon,Terrell,,Running back,SouthernMississippi
NFL1984,8,211,New England Patriots,JamesKeyton,James,Keyton,,Tackle,ArizonaState
NFL1984,8,212,Chicago Bears,BradAnderson,Brad,Anderson,,Wide receiver,Arizona
NFL1984,8,213,St Louis Cardinals,BobPaulling,Bob,Paulling,,Kicker,Clemson
NFL1984,8,214,Detroit Lions,DavidJones2,David,Jones,,Center,Texas
NFL1984,8,215,Los Angeles Rams,EdBrady,Ed,Brady,,Linebacker,Illinois
NFL1984,8,216,Seattle Seahawks,JohnPuzar,John,Puzar,,Center,LongBeachState
NFL1984,8,217,New York Jets,BretWright,Bret,Wright,,Punter,SoutheasternLouisiana
NFL1984,8,218,Denver Broncos,ScottGarnett,Scott,Garnett,,Defensive tackle,Washington
NFL1984,8,219,San Diego Chargers,BobCraighead,Bob,Craighead,,Running back,N.E.Louisiana
NFL1984,8,220,Pittsburgh Steelers,RandyRasmussen,Randy,Rasmussen,,Center,Minnesota
NFL1984,8,221,Miami Dolphins,RonnieLandry,Ronnie,Landry,,Running back,McNeeseState
NFL1984,8,222,Dallas Cowboys,MikeRevell,Mike,Revell,,Running back,BethuneCookman
NFL1984,8,223,Washington Redskins,JeffSmith,Jeff,Smith,,Defensive back,Missouri
NFL1984,8,224,Los Angeles Raiders,SamSeale,Sam,Seale,,Wide receiver,WesternColorado
NFL1984,9,225,Tampa Bay Buccaneers,RickMallory,Rick,Mallory,,Guard,Washington
NFL1984,9,226,Houston Oilers,JeffDonaldson,Jeff,Donaldson,,Defensive back,Colorado
NFL1984,9,227,Houston Oilers,MikeJohnson,Mike,Johnson,,Defensive end,Illinois
NFL1984,9,228,Cleveland Browns,DonJones,Don,Jones,,Wide receiver,TexasA&M
NFL1984,9,229,Kansas City Chiefs,ScottAuer,Scott,Auer,,Tackle,MichiganState
NFL1984,9,230,San Diego Chargers,ZackBarnes,Zack,Barnes,,Defensive tackle,AlabamaState
NFL1984,9,231,Cincinnati Bengals,BruceKozerski,Bruce,Kozerski,,Center,HolyCross
NFL1984,9,232,Dallas Cowboys,JohnHunt,John,Hunt,,Guard,Florida
NFL1984,9,233,Atlanta Falcons,GlenHowe,Glen,Howe,,Tackle,SouthernMississippi
NFL1984,9,234,New York Jets,TomBaldwin,Tom,Baldwin,,Defensive tackle,Tulsa
NFL1984,9,235,Minnesota Vikings,KeithKidd,Keith,Kidd,,Wide receiver,Arkansas
NFL1984,9,236,Buffalo Bills,LeroyHowell,Leroy,Howell,,Defensive end,AppalachianState
NFL1984,9,237,New Orleans Saints,BrianHansen,Brian,Hansen,,Punter,SiouxFalls
NFL1984,9,238,New England Patriots,ScottBolzan,Scott,Bolzan,,Tackle,NorthernIllinois
NFL1984,9,239,San Francisco 49ers,LeeMiller,Lee,Miller,,Defensive back,FullertonState
NFL1984,9,240,Kansas City Chiefs,DaveHestera,Dave,Hestera,,Tight end,Colorado
NFL1984,9,241,St Louis Cardinals,JohnWalker2,John,Walker,,Running back,Texas
NFL1984,9,242,Los Angeles Rams,GeorgeReynolds,George,Reynolds,,Punter,PennState
NFL1984,9,243,Seattle Seahawks,AdamSchreiber,Adam,Schreiber,,Guard,Texas
NFL1984,9,244,Chicago Bears,MarkCasale,Mark,Casale,,Quarterback,MontclairState
NFL1984,9,245,Denver Broncos,ChrisBrewer,Chris,Brewer,,Running back,Arizona
NFL1984,9,246,Detroit Lions,RichHollins,Rich,Hollins,,Wide receiver,WestVirginia
NFL1984,9,247,Pittsburgh Steelers,RichErenberg,Rich,Erenberg,,Running back,Colgate
NFL1984,9,248,San Francisco 49ers,DerrickHarmon,Derrick,Harmon,,Running back,Cornell
NFL1984,9,249,Dallas Cowboys,NeilMaune,Neil,Maune,,Guard,NotreDame
NFL1984,9,250,Miami Dolphins,JimBoyle,Jim,Boyle,,Tackle,Tulane
NFL1984,9,251,New England Patriots,DavidWindham,David,Windham,,Linebacker,JacksonState
NFL1984,9,252,Houston Oilers,MikeRussell,Mike,Russell,,Linebacker,Toledo
NFL1984,10,253,Los Angeles Rams,NorwoodVann,Norwood,Vann,,Tight end,EastCarolina
NFL1984,10,254,Tampa Bay Buccaneers,JimGallery,Jim,Gallery,,Kicker,Minnesota
NFL1984,10,255,New York Giants,DavidJordan,David,Jordan,,Guard,Auburn
